,Aayu Malun Khola Hydro-Electric Project,Apsuwa I HEP,Chujung Khola HEP,Dudhkoshi 10 HEP,Dudhkoshi-6 HEP,Ghunsa Khola HPP,Ghunsa-Tamor HPP,Hongu Khola HPP,Ikhuwa Khola HEP,Isuwa Khola Hydropower Project,Kabeli B - 1,Kabeli-3 HEP,Kabeli-A,Kasuwa Khola HPP,Lower Hewa,Lower Isuwa Khola HPP,Lower Solu Hydropower Project,Luja Khola HPP,Mewa khola HPP,Mewa Khola Hydropower project,Middle Hongu Khola B HPP,Middle Hongukhola A Hydropower Project,Middle Mewa HPP,Middle Tamor,Palun khola small Hydropower Project,Simbuwa Khola Hydroelectric Project,Solu Hydropower Project,Solu Khola (Dudha Koshi),Super Inkhu Khola,Tamor Khola-5 HEP,Upper Apsuwa HEP,Upper Barunkhola HEP,Upper Inkhu Khola HEP,Upper Isuwa,Upper Kabeli HPP,Upper Mewa Khola -A HPP,Upper Sankhuwa Khola HEP,Upper Simbuwa Khola HPP,Upper Tamor A HPP,Upper Tamor HEP,solar_site_0,solar_site_1,solar_site_2,solar_site_3,solar_site_4,solar_site_5,solar_site_6,solar_site_7,solar_site_8,solar_site_9,solar_site_10,solar_site_11,solar_site_12,solar_site_13,solar_site_14,solar_site_15,solar_site_16,solar_site_17,solar_site_18,solar_site_19
2019-12-16 10:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.581039755351682,0.5934291581108829,0.5814663951120163,0.5885363357215967,0.581039755351682,0.5885363357215967,0.5924024640657084,0.5925925925925926,0.5925925925925926,0.5952626158599382,0.5275510204081633,0.5275510204081633,0.5822267620020429,0.5920245398773006,0.58948432760364,0.5838383838383838,0.5868917576961271,0.5918762088974855,0.4585365853658537,0.5529075309818875
2019-12-16 11:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6238532110091743,0.5667351129363449,0.6242362525458248,0.3664278403275333,0.6238532110091743,0.3664278403275333,0.1314168377823408,0.2541152263374485,0.2541152263374485,0.596292481977343,0.6244897959183674,0.6244897959183674,0.5801838610827375,0.4325153374233129,0.6319514661274014,0.5343434343434343,0.6127110228401191,0.632495164410058,0.2058536585365853,0.4899904671115348
2019-12-16 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3435270132517839,0.1950718685831622,0.5763747454175153,0.3961105424769703,0.3435270132517839,0.3961105424769703,0.2802874743326489,0.345679012345679,0.345679012345679,0.5108135942327497,0.5357142857142857,0.5357142857142857,0.4525025536261491,0.2822085889570552,0.5945399393326593,0.5797979797979798,0.5948361469712016,0.5357833655705996,0.1668292682926829,0.1563393708293613
2019-12-16 13:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1396534148827727,0.5051334702258727,0.5081466395112016,0.4861821903787103,0.1396534148827727,0.4861821903787103,0.2987679671457905,0.3065843621399177,0.3065843621399177,0.3789907312049433,0.4040816326530612,0.4040816326530612,0.1920326864147089,0.4580777096114519,0.2891809908998989,0.3868686868686868,0.4210526315789473,0.4264990328820116,0.1268292682926829,0.342230695900858
2019-12-16 14:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3659531090723751,0.3562628336755646,0.3645621181262729,0.2722620266120777,0.3659531090723751,0.2722620266120777,0.3326488706365503,0.3559670781893004,0.3559670781893004,0.2255406797116375,0.3653061224489796,0.3653061224489796,0.1716036772216547,0.3456032719836401,0.1263902932254803,0.0797979797979798,0.1271102284011916,0.1025145067698259,0.2126829268292683,0.1782650142993327
2019-12-16 15:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1845056065239551,0.1416837782340862,0.1863543788187372,0.1832139201637666,0.1845056065239551,0.1832139201637666,0.1786447638603696,0.1800411522633745,0.1800411522633745,0.1297631307929969,0.1846938775510204,0.1846938775510204,0.1889683350357507,0.1830265848670756,0.1880687563195146,0.0434343434343434,0.1549155908639523,0.0560928433268858,0.0770731707317073,0.0743565300285986
2019-12-16 16:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0050968399592252,0.0030800821355236,0.0061099796334012,0.0040941658137154,0.0050968399592252,0.0040941658137154,0.0030800821355236,0.0030864197530864,0.0030864197530864,0.0030895983522142,0.0061224489795918,0.0061224489795918,0.0051072522982635,0.0040899795501022,0.0050556117290192,0.005050505050505,0.0059582919563058,0.0058027079303675,0.0068292682926829,0.0085795996186844
2019-12-16 17:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 19:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 20:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 21:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 22:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 23:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841558611157648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 00:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 01:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 02:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 03:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 04:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 05:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 06:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.0,0.0010266940451745,0.0,0.0010235414534288,0.0,0.0010235414534288,0.0010266940451745,0.0010288065843621,0.0010288065843621,0.0010298661174047,0.0,0.0,0.0,0.0010224948875255,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 07:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.1365953109072375,0.0965092402464065,0.109979633401222,0.0962128966223132,0.1365953109072375,0.0962128966223132,0.1129363449691991,0.0853909465020576,0.0853909465020576,0.1143151390319258,0.1091836734693877,0.1091836734693877,0.118488253319714,0.1063394683026584,0.1415571284125379,0.1121212121212121,0.1390268123138033,0.167311411992263,0.1492682926829268,0.1687321258341277
2019-12-17 08:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.3261977573904179,0.177618069815195,0.3146639511201629,0.2149437052200614,0.3261977573904179,0.2149437052200614,0.2279260780287474,0.2119341563786008,0.2119341563786008,0.2348094747682801,0.3051020408163265,0.3051020408163265,0.264555669050051,0.2576687116564417,0.3255813953488372,0.1696969696969697,0.3316782522343595,0.3588007736943907,0.3512195121951219,0.3689227836034318
2019-12-17 09:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.4689092762487258,0.3008213552361396,0.4042769857433808,0.2876151484135107,0.4689092762487258,0.2876151484135107,0.3223819301848049,0.3055555555555556,0.3055555555555556,0.2605561277033985,0.3653061224489796,0.3653061224489796,0.4606741573033708,0.3261758691206544,0.4701718907987866,0.2525252525252525,0.4846077457795432,0.5174081237911026,0.511219512195122,0.5081029551954243
2019-12-17 10:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.5800203873598369,0.2772073921971252,0.5631364562118126,0.3203684749232344,0.5800203873598369,0.3203684749232344,0.3747433264887063,0.338477366255144,0.338477366255144,0.3120494335736354,0.5102040816326531,0.5102040816326531,0.5914198161389173,0.3865030674846625,0.5995955510616785,0.3222222222222222,0.5948361469712016,0.597678916827853,0.6146341463414634,0.6434699714013346
2019-12-17 11:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.6309887869520897,0.3367556468172484,0.6272912423625254,0.3111566018423746,0.6309887869520897,0.3111566018423746,0.3336755646817248,0.3395061728395062,0.3395061728395062,0.3532440782698249,0.6316326530612245,0.6316326530612245,0.634320735444331,0.3353783231083844,0.6370070778564206,0.397979797979798,0.6444885799404171,0.660541586073501,0.624390243902439,0.6863679694947569
2019-12-17 12:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.6136595310907238,0.4209445585215606,0.6089613034623218,0.3654042988741044,0.6136595310907238,0.3654042988741044,0.3726899383983573,0.360082304526749,0.360082304526749,0.4335736354273944,0.6153061224489796,0.6153061224489796,0.6149131767109295,0.3445807770961145,0.6117290192113246,0.6191919191919192,0.6206554121151936,0.6305609284332688,0.6195121951219512,0.6596758817921831
2019-12-17 13:00:00,1.0,1.0,0.9095769391738084,1.0,1.0,0.9625179608020528,0.9625179608020528,1.0,0.9541627550332924,1.0,0.997037506206516,0.838395713487664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619188341424388,0.9844012536726294,0.9768307002784932,0.9593700095803264,1.0,1.0,1.0,0.927956614589362,1.0,0.9963426557941928,1.0,1.0,0.8441737862695896,0.9619188341424388,1.0,0.8897961642753954,0.9844012536726294,1.0,0.5219164118246687,0.2987679671457905,0.5224032586558045,0.390992835209826,0.5219164118246687,0.390992835209826,0.3870636550308008,0.2921810699588477,0.2921810699588477,0.3388259526261586,0.5224489795918368,0.5224489795918368,0.5240040858018387,0.3476482617586912,0.4994944388270981,0.5292929292929293,0.5312810327706058,0.5367504835589942,0.5570731707317074,0.5691134413727359
